task_id,graph_type,context_length,seed,model,prompt_style,query_id,query_type,gold,pred,correct,parse_valid,observed_edge_count,observed_baseline_pred,observed_baseline_correct,always_no_correct,shortest_path_distance,completion_tokens,prompt_tokens,total_tokens,api_error
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,2,YES,True,False,1,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q3,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q4,false_distant,NO,NO,True,True,0,NO,True,True,4,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q5,false_distant,NO,YES,False,True,0,NO,True,True,3,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q7,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,319,396,
grid4x4_L16_S1006,grid4x4,16,1006,gpt-4.1,direct,q8,true_observed,YES,YES,True,True,1,YES,True,False,1,77,319,396,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q1,false_distant,NO,NO,True,True,0,NO,True,True,3,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q2,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,1,YES,True,False,1,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q4,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q5,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,2,YES,True,False,1,77,318,395,
grid4x4_L16_S1007,grid4x4,16,1007,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,3,77,318,395,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q1,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,3,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,2,YES,True,False,1,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q4,false_distant,NO,YES,False,True,0,NO,True,True,3,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q5,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,1,YES,True,False,1,77,351,428,
grid4x4_L32_S1000,grid4x4,32,1000,gpt-4.1,direct,q8,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,351,428,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q1,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q3,false_distant,NO,NO,True,True,0,NO,True,True,3,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q4,false_distant,NO,NO,True,True,0,NO,True,True,4,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q5,true_observed,YES,YES,True,True,1,YES,True,False,1,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q7,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,347,424,
grid4x4_L32_S1001,grid4x4,32,1001,gpt-4.1,direct,q8,true_observed,YES,YES,True,True,1,YES,True,False,1,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q1,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q2,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q3,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q4,false_distant,NO,NO,True,True,0,NO,True,True,6,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q5,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q6,true_observed,YES,YES,True,True,2,YES,True,False,1,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q7,false_distant,NO,NO,True,True,0,NO,True,True,5,77,347,424,
grid4x4_L32_S1002,grid4x4,32,1002,gpt-4.1,direct,q8,true_observed,YES,NO,False,True,1,YES,True,False,1,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,6,YES,True,False,1,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,3,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q3,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q4,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q5,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q6,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,1,YES,True,False,1,77,347,424,
grid4x4_L32_S1003,grid4x4,32,1003,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,3,77,347,424,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q1,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q2,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q3,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q4,true_observed,YES,YES,True,True,1,YES,True,False,1,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q5,false_distant,NO,NO,True,True,0,NO,True,True,5,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q6,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,5,YES,True,False,1,77,350,427,
grid4x4_L32_S1004,grid4x4,32,1004,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,3,77,350,427,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q1,false_distant,NO,NO,True,True,0,NO,True,True,3,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q2,true_observed,YES,YES,True,True,2,YES,True,False,1,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q3,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q4,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q5,true_observed,YES,YES,True,True,5,YES,True,False,1,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q6,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q7,false_distant,NO,NO,True,True,0,NO,True,True,3,77,352,429,
grid4x4_L32_S1005,grid4x4,32,1005,gpt-4.1,direct,q8,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,352,429,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q1,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q2,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,3,YES,True,False,1,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q4,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q5,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q6,false_distant,NO,NO,True,True,0,NO,True,True,4,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,4,YES,True,False,1,77,348,425,
grid4x4_L32_S1006,grid4x4,32,1006,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,4,77,348,425,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q1,false_distant,NO,NO,True,True,0,NO,True,True,3,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q2,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,2,YES,True,False,1,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q4,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q5,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q6,true_observed,YES,YES,True,True,2,YES,True,False,1,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q7,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,351,428,
grid4x4_L32_S1007,grid4x4,32,1007,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,6,77,351,428,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q1,false_distant,NO,NO,True,True,0,NO,True,True,3,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q2,true_low_seen,YES,YES,True,True,0,NO,False,False,1,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q3,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q4,true_observed,YES,YES,True,True,5,YES,True,False,1,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q5,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q6,true_observed,YES,YES,True,True,6,YES,True,False,1,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q7,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,411,488,
grid4x4_L64_S1000,grid4x4,64,1000,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,3,77,411,488,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q1,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,3,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,4,YES,True,False,1,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q4,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q5,true_observed,YES,YES,True,True,6,YES,True,False,1,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q6,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q7,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,418,495,
grid4x4_L64_S1002,grid4x4,64,1002,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,4,77,418,495,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q1,false_distant,NO,NO,True,True,0,NO,True,True,4,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q2,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q3,true_observed,YES,YES,True,True,1,YES,True,False,1,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q4,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q5,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q6,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,6,YES,True,False,1,77,414,491,
grid4x4_L64_S1001,grid4x4,64,1001,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,4,77,414,491,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,6,YES,True,False,1,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q2,false_distant,NO,NO,True,True,0,NO,True,True,3,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q3,false_distant,NO,NO,True,True,0,NO,True,True,3,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q4,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q5,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q7,true_observed,YES,YES,True,True,8,YES,True,False,1,77,412,489,
grid4x4_L64_S1003,grid4x4,64,1003,gpt-4.1,direct,q8,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,412,489,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q1,true_observed,YES,NO,False,True,1,YES,True,False,1,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q2,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q3,false_distant,NO,YES,False,True,0,NO,True,True,3,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q4,true_observed,YES,YES,True,True,5,YES,True,False,1,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q5,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q6,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q7,false_distant,NO,NO,True,True,0,NO,True,True,6,77,413,490,
grid4x4_L64_S1004,grid4x4,64,1004,gpt-4.1,direct,q8,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,413,490,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q1,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q3,false_distant,NO,NO,True,True,0,NO,True,True,3,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q4,true_observed,YES,YES,True,True,6,YES,True,False,1,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q5,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q6,false_distant,NO,NO,True,True,0,NO,True,True,5,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q7,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,415,492,
grid4x4_L64_S1005,grid4x4,64,1005,gpt-4.1,direct,q8,true_observed,YES,YES,True,True,4,YES,True,False,1,77,415,492,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q1,true_observed,YES,YES,True,True,3,YES,True,False,1,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q2,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q3,true_low_seen,YES,NO,False,True,1,YES,True,False,1,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q4,true_low_seen,YES,YES,True,True,1,YES,True,False,1,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q5,false_distant,NO,NO,True,True,0,NO,True,True,4,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q6,true_observed,YES,YES,True,True,1,YES,True,False,1,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q7,false_distance2,NO,YES,False,True,0,NO,True,True,2,77,544,621,
grid4x4_L128_S1000,grid4x4,128,1000,gpt-4.1,direct,q8,false_distant,NO,NO,True,True,0,NO,True,True,3,77,544,621,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q1,true_low_seen,YES,NO,False,True,0,NO,False,False,1,77,414,491,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q2,true_observed,YES,YES,True,True,1,YES,True,False,1,77,414,491,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q3,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,414,491,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q4,false_distant,NO,NO,True,True,0,NO,True,True,4,77,414,491,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q5,true_observed,YES,YES,True,True,3,YES,True,False,1,77,414,491,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q6,false_distant,NO,NO,True,True,0,NO,True,True,3,77,414,491,
grid4x4_L64_S1006,grid4x4,64,1006,gpt-4.1,direct,q7,false_distance2,NO,NO,True,True,0,NO,True,True,2,77,414,491,
